1	一捧雪記四卷	廣州五桂堂板	俗文學叢刊469冊	/	/	南音-木魚書	88	俗：梁天來四卷；佛圖有其他本。
2	新刻機器板正字二度梅全本（正字二度梅全本）四卷	五桂堂機器版	法國陳慶浩	未檢查	/	南音	42？	/
3	二美懷舟	清刻本	德國巴伐利亞州立圖書館	全	選	南音	4	封面標注為南音。
4	二賭博談	廣州醉經堂機器版	俗文學叢刊416冊	/	/	龍舟歌	3	/
5	2-十二時辰二卷	省港五桂堂據以文堂機器板改板印行	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	6	2、3、4主體內容同，2與3版本、內容完全同。4用詞有異。149-1與其他三種內容異（已移下），建議收1與2，或1、2、4。
6	3-十二時辰二卷	省港五桂堂機器板	廣東省立中山圖書館	全	/	龍舟歌	6	2、3、4主體內容同，2與3版本、內容完全同。4用詞有異。149-1與其他三種內容異（已移下），建議收1與2，或1、2、4。
7	4-十二時辰二卷（存卷上）	廣州醉經書局機器板	廣東省立中山圖書館	殘	待定	龍舟歌	3	2、3、4主體內容同，2與3版本、內容完全同。4用詞有異。149-1與其他三種內容異（已移下），建議收1與2，或1、2、4。
8	5-十二時辰	佛山芹香閣板	順德區圖書館	全	/	龍舟歌	6	未檢查
9	1-新選全本十五貫（全本金環十五貫）二卷	廣州廣文堂嘉慶元年改正新刻刻本	德國巴伐利亞州立圖書館	全	待定	南音-木魚書	37	按：倆者內容幾乎同，版式不同，極個別用字有異，差異較小。全收還是選擇其一。
10	2-新刻十五貫金環記全本（十五貫全）二卷	廣州以文堂據丹柱堂刊本改板印行刻本	中山大學中國非物質文化遺產研究中心	全	待定	南音-木魚書	34	按：倆者內容幾乎同，版式不同，極個別用字有異，差異較小。全收還是選擇其一。
11	1-重訂十思起解心（十思起）	五桂堂機器板	日本松浦恒雄	全	選	龍舟歌	3	內容有差異。上圖有以文堂本。
12	1-重訂十思起解心（十思起）	五桂堂機器板	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	3	內容有差異。上圖有以文堂本。
13	2-十思起解心（鑑記解心十思起）	香山石岐鑑記刻本	廣州圖書館	全	選	龍舟歌	3	/
14	十送英臺	廣州以文堂板	俗文學叢刊414冊	/	/	龍舟歌	3	/
15	十諫才郎	廣州以文堂板	俗文學叢刊417冊	/	/	龍舟歌	3	上圖有廣州五桂堂本
16	十諫嫖客附龜公自嘆	五桂堂藏板	廣東省立中山圖書館	全	選	龍舟歌	4	/
17	1-龍舟七夕讃花二卷（存卷上）	廣州以文堂機器板	廣東省立中山圖書館	缺	/	龍舟歌	4	1與2內容同，均存卷上。書品相差無幾。另有俗文學本，請選定。
18	2-龍舟七夕讃花二卷（存卷上）	五桂堂	廣州圖書館	缺	/	龍舟歌	4	1與2內容同，均存卷上。書品相差無幾。另有俗文學本，請選定。
19	3-七夕讚花	廣州以文堂	俗文學叢刊417冊	/	/	龍舟歌	/	1與2內容同，均存卷上。書品相差無幾。另有俗文學本，請選定。
20	七曲琴	廣州五桂堂	廣東省立中山圖書館	全	選	龍舟歌	4	/
21	新緝七國孫臏全本四卷	佛山文光樓本	國家圖書館	/	/	南音木魚書	/	已徵集，待錄入數據
22	1重訂七嫁才郎（七嫁才郎）	省港五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	3	2為多種合計，此為第一種，全。餘下殘本，依次為賭仔賣女（436底本與此同）上卷，醉經堂機器板；劉金定灌藥（與424主體內容同，用字有異） 機器版。拆開，此處保留七嫁才郎。此本無封面，底本較潛，建議用1.
23	2重訂七嫁才郎	廣州醉經堂五桂堂機器板	廣州圖書館	全	/	/	待補	2為多種合計，此為第一種，全。餘下殘本，依次為賭仔賣女（436底本與此同）上卷，醉經堂機器板；劉金定灌藥（與424主體內容同，用字有異） 機器版。拆開，此處保留七嫁才郎。此本無封面，底本較潛，建議用1.
24	八仙賀壽	廣州以文堂	俗文學叢刊417冊	/	/	龍舟歌	3	/
25	九調十三腔	廣州醉經堂	俗文學叢刊417冊	/	/	龍舟歌	3	/
26	1新出時事三大害龍舟（新串三大害）二卷（存卷上）	廣州五桂堂刻本	日本天理大學附屬天理圖書館	/	選	龍舟歌	3	按：兩版本同，一存上卷一存下卷，可以考慮合併出版。
27	2新串三大害二卷（存卷下）	廣州五桂堂刻本	廣東省立中山圖書館	/	選	龍舟歌	3	按：兩版本同，一存上卷一存下卷，可以考慮合併出版。
28	1新刻三合明珠方倫全本（三合明珠方倫餞別全本）四卷	佛山芹香閣板	廣東省立中山圖書館	全	/	南音-木魚書	58	按：6與2同，刪。5存2頁，刪。其他四種：1與2底本內容版式同，3與4內容版式同。前兩者與後兩者內容大致同，但某些地方措辭有異。綜合底本情況看，建議收錄2與3。
29	2新刻三合明珠方倫全本（方倫三合明珠）四卷 祁秀昌選本	廣州五桂堂刻本	廣東省立中山圖書館	全	選	南音-木魚書	57	按：6與2同，刪。5存2頁，刪。其他四種：1與2底本內容版式同，3與4內容版式同。前兩者與後兩者內容大致同，但某些地方措辭有異。綜合底本情況看，建議收錄2與3。
30	3新刻三合明珠方倫全本（方倫別三合明珠）四卷	廣州以文堂刻本	廣州圖書館	全	選	南音-木魚書	57	按：6與2同，刪。5存2頁，刪。其他四種：1與2底本內容版式同，3與4內容版式同。前兩者與後兩者內容大致同，但某些地方措辭有異。綜合底本情況看，建議收錄2與3。
31	4新刻三合明珠方倫全本（三合明珠）四卷	廣州醉經書局刻本	廣州圖書館	殘	/	南音-木魚書	52	按：6與2同，刪。5存2頁，刪。其他四種：1與2底本內容版式同，3與4內容版式同。前兩者與後兩者內容大致同，但某些地方措辭有異。綜合底本情況看，建議收錄2與3。
32	1-新選三合明珠寶劍全本（大漢奇書三合寶劍全本）五集二十卷（缺三續）	丹柱堂刻本	廣東省立中山圖書館(初集二續）	缺	待定	南音-木魚書	241	按：1與2兩者內容同，版式不同，個別用字有異。1缺三集，且中間多處殘。2完整，除五集卷三版心處有蟲蛀外均較好。1與2兼收還是僅收2，請定。
33	1-新選三合明珠寶劍全本（大漢奇書三合寶劍全本）五集二十卷（缺三續）	丹柱堂刻本	佛山市博物館（四續五續）	缺	待定	南音-木魚書	241	按：1與2兩者內容同，版式不同，個別用字有異。1缺三集，且中間多處殘。2完整，除五集卷三版心處有蟲蛀外均較好。1與2兼收還是僅收2，請定。
34	2-新刻正字三合明珠寶劍全本（三合寶劍）五集二十卷	以文堂五桂堂機器板	廣州圖書館	全	選	南音-木魚書	248	按：1與2兩者內容同，版式不同，個別用字有異。1缺三集，且中間多處殘。2完整，除五集卷三版心處有蟲蛀外均較好。1與2兼收還是僅收2，請定。
35	三別徐庶二卷	廣州以文堂機器板	俗文學叢刊414冊	全	/	龍舟歌	/	/
36	三姑回門二卷	省港五桂堂機器版	廣東省立中山圖書館	全	選	龍舟歌	6	/
37	新三姑回門全本內附送嫁洞房句語笑話（新編時興送嫁歌文）二卷	廣州廣文堂刻本	德國巴伐利亞州立圖書館	全	選	南音-木魚書	23	中大古籍部南音有五桂堂木刻本。
38	重訂三春投水龍舟歌（正字龍舟三春投水）	五桂堂機器板	日本金文京	全	選	龍舟歌	6	/
39	三氣宣王（三戲宣王）二卷	廣州醉經書局據舊板改板印行，機器板	廣東省立中山圖書館	全	選	龍舟歌	7	封面：三戲宣王。俗：廣州以文堂板
40	1-新選三娘汲水智遠全傳（正字三娘汲水）四卷（缺卷三卷四）	廣州醉經書局機器板	廣東省立中山圖書館	/	/	南音-木魚書	21	按：1與2底本內容同，版式不同。1存卷一與卷二（復旦有此底本）。底本較好。2缺封面與目錄，卷一與卷四後殘，且卷四P16後缺。收俗文學本？
41	2-新選三娘汲水智遠全傳（三娘汲水）四卷	XXX機器板	廣州圖書館	/	/	南音-木魚書	52	按：1與2底本內容同，版式不同。1存卷一與卷二（復旦有此底本）。底本較好。2缺封面與目錄，卷一與卷四後殘，且卷四P16後缺。收俗文學本？
42	3-三娘汲水四卷	廣州五桂堂	俗文學叢刊448 冊	全	選	南音-木魚書	/	按：1與2底本內容同，版式不同。1存卷一與卷二（復旦有此底本）。底本較好。2缺封面與目錄，卷一與卷四後殘，且卷四P16後缺。收俗文學本？
43	三婦怨夫醒世良言（三婦談情）	廣州醉經書局機器版	廣東省立中山圖書館	全	選	龍舟歌	3	封面、書口：三婦談情。上圖有以文堂本。
44	三聘孔明二卷	省港五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	6	龍舟歌。內容幾乎同，個別措施、繁簡稍異。底本清晰度差異不大，建議收1或1與2。俗：廣州以文堂機器板（上圖亦有）
45	三聘孔明二卷	廣州醉經書局	廣東省立中山圖書館	全	/	龍舟歌	5	龍舟歌。內容幾乎同，個別措施、繁簡稍異。底本清晰度差異不大，建議收1或1與2。俗：廣州以文堂機器板（上圖亦有）
46	土地公抵制	以文堂	俗文學叢刊416冊	全	/	龍舟歌	6	/
47	士九拜山	省港五桂書局	日本天理大學附屬天理圖書館	全	選	龍舟歌	3	/
48	士九問路（正字龍舟士九問路）	五桂堂機器板	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	3	內容幾乎同，個別異體字有異，底本1稍好，收1，還是1與2兼收。俗：廣州以文堂板
49	士九問路	廣州醉經書局據三元堂機器板改板印行	廣東省立中山圖書館	全	待定	龍舟歌	3	內容幾乎同，個別異體字有異，底本1稍好，收1，還是1與2兼收。俗：廣州以文堂板
50	1一才子三國志全書四集十六卷	廣州醉經堂據莞城富文堂、省城丹柱堂刻本改板印行	中山大學圖書館	全	選	南音	267	藏版同，印書機構同，批次不同。
51	2一才子三國志全書四集十六卷	廣州醉經堂據莞城富文堂、省城丹柱堂刻本改板印行	中山大學中國非物質文化遺產研究中心	殘	/	南音	/	藏版同，印書機構同，批次不同。
52	新刻繡像西廂第六才子全本（六才子西廂記）二卷	醉經堂刻本	中山大學圖書館	全	選	南音-木魚書	24	/
53	七才子蔡伯喈琵琶記	醉經堂	俗文學叢刊438冊	/	/	南音	72	復旦有其他版本。
54	佳伯七才子四卷	廣州醉經書局木刻本	中山大學圖書館	/	/	南音	72	/
55	第八才子花箋	五桂堂本 刻本	廣東省立中山圖書館	/	/	南音-木魚書	數據未見	復旦有以文堂本。
56	1-靜淨齋第八才子書花箋記（第八才子花箋）	靜淨齋藏板康熙五十二年序刊本	法國國家圖書館	殘	選	南音-木魚書	116	1與2為對第八才子花花箋記的評論，1底本早，2內文多。建議均收錄。
57	2-靜淨齋第八才子書花箋記（繡像第八才子花箋註）六卷	福文堂刻本	英國倫敦大學亞非學院圖書館	全	選	南音-木魚書	285	1與2為對第八才子花花箋記的評論，1底本早，2內文多。建議均收錄。
58	3-第八才子花箋記六卷	靜淨齋刊本（版本著錄據俗文學叢刊）	俗文學叢刊446冊	/	/	南音-木魚書	164	1與2為對第八才子花花箋記的評論，1底本早，2內文多。建議均收錄。
59	1-新刻正原本第八才子花箋書（第八才子花箋書）二卷 鍾映雪評	廣文堂梓刻本	德國巴伐利亞州立圖書館	全	選	南音-木魚書	55	按：1與2主體同，個別措辭有異。2、3內容同，分卷不同，版式不同，3更清晰。1與其措辭有不同。3、4與5同，但3殘。6與上均不同，不能判斷是否同一系列。建議收1、2、3。6待判斷是否同類。
60	2-第八才子花箋書（正字第八才子花箋）二卷	醉經書局刻本	廣州圖書館	全	選	南音-木魚書	41	按：1與2主體同，個別措辭有異。2、3內容同，分卷不同，版式不同，3更清晰。1與其措辭有不同。3、4與5同，但3殘。6與上均不同，不能判斷是否同一系列。建議收1、2、3。6待判斷是否同類。
61	3-第八才子花箋書（正字南音八才子花箋記）二卷	香港五桂堂機器板	廣州圖書館	全	選	南音-木魚書	37	按：1與2主體同，個別措辭有異。2、3內容同，分卷不同，版式不同，3更清晰。1與其措辭有不同。3、4與5同，但3殘。6與上均不同，不能判斷是否同一系列。建議收1、2、3。6待判斷是否同類。
62	4-第八才子花箋書二卷	機器板	廣州圖書館	全	/	南音-木魚書	36	按：1與2主體同，個別措辭有異。2、3內容同，分卷不同，版式不同，3更清晰。1與其措辭有不同。3、4與5同，但3殘。6與上均不同，不能判斷是否同一系列。建議收1、2、3。6待判斷是否同類。
63	5-第八才子花箋書（改良正字第八才子花箋）二卷	以文堂刻本	中山大學中國非物質文化遺產研究中心	全	/	南音-木魚書	39	按：1與2主體同，個別措辭有異。2、3內容同，分卷不同，版式不同，3更清晰。1與其措辭有不同。3、4與5同，但3殘。6與上均不同，不能判斷是否同一系列。建議收1、2、3。6待判斷是否同類。
64	6-第八才子花箋記（八才子花箋記）X卷	萬興香記據參化堂刻本改板印行	中山大學中國非物質文化遺產研究中心	/	/	南音-木魚書	待核	按：1與2主體同，個別措辭有異。2、3內容同，分卷不同，版式不同，3更清晰。1與其措辭有不同。3、4與5同，但3殘。6與上均不同，不能判斷是否同一系列。建議收1、2、3。6待判斷是否同類。
65	1-第九才子書二荷花史（重訂九才子二荷）四卷 鍾梅村先生批定	華翰堂乾隆癸醜序刊本	英國倫敦大學亞非學院圖書館	全	選	南音-木魚書	87	1與2內容大致同，措辭有個別出入。另：239與2內容同，但底本較2差，但2不全，1收錄，2與3如何收錄，要不要收錄請定。復旦有醉經堂本。
66	2-評點第九才子書二荷花史（九才子二荷花）四卷（缺卷三）	以文堂印丹柱堂刻本	中山大學中國非物質文化遺產研究中心	缺	待定	南音-木魚書	55	1與2內容大致同，措辭有個別出入。另：239與2內容同，但底本較2差，但2不全，1收錄，2與3如何收錄，要不要收錄請定。復旦有醉經堂本。
67	239-評點九才子書二荷花史（新批扒繡像第九才子二荷）四卷 梅村鍾映雪先生評訂	東莞萃英樓藏板光緒壬辰年重鐫本	廣東省立中山圖書館	全	待定	南音-木魚書	93	1與2內容大致同，措辭有個別出入。另：239與2內容同，但底本較2差，但2不全，1收錄，2與3如何收錄，要不要收錄請定。復旦有醉經堂本。
68	1-新刻第十才子金鎖鴛鴦（第十才子）四卷	醉經堂據舊板改板印行刻本	日本金文京	全	待定	南音-木魚書	78	按：1全，底本不清晰，2存卷二卷三，個別字詞有異，重新徵集還是同時收錄。北師大有廣州五桂堂本、復旦有刻本。
69	2-新刻第十才子金鎖鴛鴦（第十才子）四卷	以文堂本	中山大學中國非物質文化遺產研究中心	缺	待定	南音-木魚書	39	按：1全，底本不清晰，2存卷二卷三，個別字詞有異，重新徵集還是同時收錄。北師大有廣州五桂堂本、復旦有刻本。
70	1-新選十一才子鴈翎媒全本（新刻鴈翎媒全本）四卷	廣州丹柱堂刻本	廣東省立中山圖書館	全	待定	南音-木魚書	77	按：兩底本內容版式同，疑為同一底本。底本品質亦相差/幾，可選其一。
71	2-新選十一才子鴈翎媒全本（鴈翎媒全本）四卷	五桂堂據丹柱堂刻本改板印行 刻本	中山大學中國非物質文化遺產研究中心	全	待定	南音-木魚書	77	按：兩底本內容版式同，疑為同一底本。底本品質亦相差/幾，可選其一。
72	1-新選正字宋太祖下南唐（正字宋太祖下南唐全本）四集十六卷	五桂堂機器板	中山大學圖書館	全	選	南音-木魚書	197	按：兩者底本同，1全，2殘缺，建議收1。354為357一集二集前，144為357二集後與三集前，287為三集後、四集。內容合起來正好與357內容同（分冊不一致）。
